Question Speaker,Question Text,Answer Speaker,Answer Text
Tamāla,"TamālaKṛṣṇa:That's all right. You know, we will need a harmonium. Should I wait till we get to India to purchase one?",Prabhupāda,You haven't got in New York?
Tamāla,"TamālaKṛṣṇa:They have one in New York temple. Los Angelessaṅkīrtananeeds a harmonium, a good harmonium. Maybe...",Prabhupāda,Can you spare hundred dollars?
Tamāla,TamālaKṛṣṇa:Right now...,Prabhupāda,You get hundred dollars; then we shall get.
Tamāla,TamālaKṛṣṇa:Okay. Wakim and Son?(?),Prabhupāda,"No, from elsewhere."
Tamāla,TamālaKṛṣṇa:Moremṛdaṅgas.,Prabhupāda,"These boys,Acyutānanda, they do not write what they are doing, what they are not doing. I do not know whether they have made a plan to go away from the society and live independently."
Tamāla,TamālaKṛṣṇa:It seems like it is very difficult to go to India without you and still come back. It seems...,Prabhupāda,No. When we go to India I shall go with you. Yes. We must go.
Tamāla,TamālaKṛṣṇa:Yes. We can go toJagannāthaPurī?,Prabhupāda,Everywhere we shall go.
Govinda,"Govindadāsī:""Mother, these pots are very, are pure.""",Prabhupāda,"He,CaitanyaMahāprabhu, taught that anything in relationship withKṛṣṇa, it is not impure. That was His purpose. ""You should not treat these pots as impure. Ordinarily, when such pots are used for household purposes, that may be impure. But because in these potsprasādamwere prepared, that is not impure."" That was His... (pause)"
Govinda,Govindadāsī:I don't know what letters you want.,Prabhupāda,There is one letter from... Let me see.
Govinda,Govindadāsī:From Karandhara?,Prabhupāda,"No. We don't hear anything about, from Śivānanda."
Tamāla,TamālaKṛṣṇa:In Berlin?Kṛṣṇadāsa?,Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:Is he in Berlin yet? IsKṛṣṇadāsain Berlin?Kṛṣṇadāsa.,Prabhupāda,Kṛṣṇadāsaand that German boy.
Tamāla,TamālaKṛṣṇa:Uttamaśloka.,Prabhupāda,Uttamaśloka.
Tamāla,TamālaKṛṣṇa:CanUttamaślokacome withsaṅkīrtana?,Prabhupāda,When you go there.
Tamāla,TamālaKṛṣṇa:When we go to Berlin.,Prabhupāda,"(pause) Hm. Very good. So if we go, there will be good reception in Bombay."
Tamāla,TamālaKṛṣṇa:Labor of love.,Prabhupāda,"Yes. You love something and unnecessarily you labor. So religion means... This is religion, how to develop love of God. That is religion."
Tamāla,TamālaKṛṣṇa:Also there is a story in theBhāgavatamabout the girls; they were offering to Lord Śiva.,Prabhupāda,"Yes. That is another feature of LordCaitanya. He taught in that instruction that there is no need of worshiping demigods. The incident is that in India the unmarried girls, they are encouraged to worship Lord Śiva especially in the month ofVaiśākha,March-April. And they will go to the Ganges side and prepareŚivaliṅga,and they'll... That means Śiva will be pleased upon them to offer a husband like Lord Śiva. Śiva is very peaceful and very great devotee and most powerful at the same time. So that is the ideal husband. So they brought worshipable paraphernalia for worshiping Śiva on the bank of the Ganges, andCaitanyaMahāprabhu, as naughty boy, approached them. ""Oh, my dear sister, what you are doing? Oh, you have brought so many nice things. Give it to Me, and Lord Śiva will be very much pleased. Oh, you are worshipingDurga? She is My maidservant and Lord Śiva is a great devotee of Me. So you please offer Me all these things; they will be satisfied. You don't require to offer separately."" By this, He wanted to instruct that worshiping the Supreme Lord is the appeasement of other demigods. You don't require to appease them separately. This instruction. Then some girls will hesitate. Then He will curse them that ""You'll be married with an old man having seven children by his former wife."" So they will be afraid, ""Oh, maybe this boy is cursing..."" Then out of fear they'll offer. Then He said, ""Oh, you'll have a very nice young husband and you'll have seven children by him."" In this way it was going on."
Tamāla,"TamālaKṛṣṇa:LordCaitanyais always doing this on a planet in the material, some material universe? These girls... All of these pastimes are eternal pastimes.",Prabhupāda,"Hm? No. These are not eternal pastimes. They are instructive particularly for this planet. In the eternalVaikuṇṭha, LordCaitanyais engaged in chanting and dancing. That's all."
Tamāla,"TamālaKṛṣṇa:Maybe you should, you must have your massage now. It's time.",Prabhupāda,What is time?
Tamāla,TamālaKṛṣṇa:It is twenty-five minutes to uh... Maybe we can do a little more. Twenty-five minutes to twelve. Maybe a tiny bit more.,Prabhupāda,"You can do, you can ask me for fifteen minutes more."
Tamāla,"TamālaKṛṣṇa:Okay. We also wish to show a scene of LordCaitanyain school, learning. Some kind of incident about how nice a pupil He was so we can show people that He was the best student in the school.",Prabhupāda,"In India the system is in the school that the best student is appointed... What is called in English? The chief student is called ""minor,"" or... ""M,"" beginning."
Tamāla,TamālaKṛṣṇa:Monitor.,Prabhupāda,"Monitor, yes. Monitor. So He was monitor. That is the same. And He'll teach the students from grammar allKṛṣṇa.Dhātu.Dhātu.There is subject matter.Dhātumeans verb. So He will ex-plain...dhātumeans, when adhātuis taken away a man is dead, and thisdhātuisKṛṣṇa. SoKṛṣṇais the life. WithoutKṛṣṇaa man is dead."" In this way He explained.Kṛṣṇaexplanation."
Tamāla,TamālaKṛṣṇa:How old was He?,Prabhupāda,"I may say, eight or ten years old."
Tamāla,TamālaKṛṣṇa:I think that what we will try to do is have Birbhadra come with us and he will play LordCaitanyaas a boy.,Prabhupāda,Yes. That will be nice. And he is a very intelligent boy. He'll pick up.
Tamāla,"TamālaKṛṣṇa:Are there any other, any other nice incidences between this time and when LordCaitanyagot married?",Prabhupāda,"In childhood there are many incidents. Another incident... That is a very important incident. When He was very small, crawling, so onebrāhmaṇacame as their guest. And thebrāhmaṇa,after preparing food, when he would offer toKṛṣṇa, this boy, a child, crawling and take theprasādaand eat. And thebrāhmaṇawill cry, ""Oh, everything is spoiled. This boy, child has touched."" Then His father would request him, ""I should take care of Him. Please cook again and offer toKṛṣṇa."" He said, ""It is too late now. I'll eat some fruits."" ""No. Please cook."" So twice He spoiled in that way. Then it became night, so all the ladies, they went to sleep with the child and locked the door of the room. And at night at about eleven o'clock thebrāhmaṇa,when he was offering toKṛṣṇa, and the child came and took theprasādam.Thebrāhmaṇaagain began to cry, ""Oh, here again the child has come. How you are taking care?"" And nobody heard him because everyone was sleeping. One letter is left here?"
Govinda,"Govindadāsī:Ah, yes. I got that. I got that one out. It was from Bombay.",Prabhupāda,"Yes. Keep that. So then He appeared as... No. As boy He talked with him that ""You are asking Me to come and take, and I am taking, and you are... Why you are howling like that? What can I do? You are asking Me."" Then He showed him that He isKṛṣṇaHimself and warned him that ""Don't disclose this fact. You are My devotee; therefore I disclose. So you were asking Me, so I came."" Then thebrāhmaṇawas so satisfied that ""Kṛṣṇa is here,"" and he did not disclose."
Tamāla,TamālaKṛṣṇa:Maybe we will show Lord Caitanya's marriage? Is that nice to show?,Prabhupāda,"Yes. Marriage. Yes, that is nice. The Indian system, marriage, is that the bridegroom goes to the house of the bride with procession, band, nicely decorated. They'll go... And He'll be married with first Lakṣmīpriyā, the first wife. There will be fireworks in the marriage ceremony. Yes."
Tamāla,TamālaKṛṣṇa:That will be very nice in this...,Prabhupāda,"Yes. You can make band, fireworks, decoration, and feasting..."
Tamāla,TamālaKṛṣṇa:Kīrtana.,Prabhupāda,"So many ladies, like that. That scene, I shall direct how to do it.CaitanyaMahāprabhu's father was not very rich man. So there was a bigzamindar.He was devotee of LordKṛṣṇa. So he had some affection forCaitanya. So when the marriage ceremony was being settled up, he said, ""Oh, His marriage shall not be just like thebrāhmaṇas'marriage.""Brāhmaṇa'swife, they are poor; so there is no expenditure. Some way or other, his marriage is done. But especiallykṣatriyasand thevaiśyas,oh, they spend lakhs of rupees in marriage. So he said that ""His marriage will not take place just like thebrāhmaṇas.His marriage will be royal marriage."" So he spent all the money, and there was grand, everything grandeur."
Tamāla,"TamālaKṛṣṇa:Then His wife, she died?",Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:So His mother was feeling...,Prabhupāda,"Yes.CaitanyaMahāprabhuwent to East Bengal for teaching, and actually, the girl felt too much separation, and she died. And figuratively it is used that the separation took the form of a serpent and bitten her and she died. And when He came back His mother requested that ""You should marry for the second time,"" and He agreed. And so next marriage was withViṣṇupriyā. In the first marriage, Lakṣmīpriyā, He used to see her when she was bathing in the Gangesghāṭa,andCaitanyaMahāprabhudesired that ""I shall marry this girl."" So His father sent one matchmaker. So when the matchmaker came to His mother that ""Such and suchbrāhmaṇa...""I forget his name, but the name is there in theCaitanya-Bhāgavata.""He desires that his daughter should be married with your son."" And Śacīdevī said, ""Oh, my son is not yet grown up. He's just a student. How He can be married?"" So she practically denied. And the matchmaker was going back, not very satisfied. SoCaitanyaMahāprabhuwas entering home. He saw the matchmaker and asked, ""No, why did you come here?"" ""Yes, I came to propose Your marriage with such and such daughter, but Your mother is not willing."" ""Oh, mother is not willing? All right. You can go."" Then when He came, entered home, He asked mother, ""Mother, what did you do? That matchmaker was going very sorry. Why? What did you say?"" The mother could understand that He is willing for the marriage. Then she called back the matchmaker. ""Yes. I agree for the marriage."" So the marriage ceremony... SoCaitanyaMahāprabhugave hint that ""I want to marry that girl."""
Tamāla,"TamālaKṛṣṇa:Maybe we can do a nice scene withCaitanyaMahāprabhuand His friends' sojourn, I mean, they do have a nice time.",Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:They can do...,Prabhupāda,"It is simply adjustment. You can make very nice scene. Everything can be done nice, provided we arrange for that."
Tamāla,"TamālaKṛṣṇa:Yes.Nara-nārāyaṇa, he is very good at building scenery. He can do all of that very quickly.",Prabhupāda,So you'll play in the stage or make studio?
Tamāla,TamālaKṛṣṇa:Better that we play either in a big area so we can be right in the middle of people. People will be all around.,Prabhupāda,Oh yes. That will be very nice.
Tamāla,TamālaKṛṣṇa:Because then we include them.,Prabhupāda,"Yes. That is the system. That is calledjātrāin India. That is very good system. There is no stage, but by words and feelings everyone becomes absorbed, and chanting. So that will be very nice."
Tamāla,"TamālaKṛṣṇa:Yes. We will havekīrtana,maybe seven to tenkīrtanasin the play, so everybody will be joining in.",Prabhupāda,Yes. And they'll be asked to join.
Tamāla,TamālaKṛṣṇa:Oh yes.,Prabhupāda,That will be very nice.
Tamāla,TamālaKṛṣṇa:Even maybe when LordCaitanyasays toNityānandaPrabhuand to...,Prabhupāda,"No, when singing is there, all the players and all the audience and everyone will sing. That will be very nice."
Tamāla,"TamālaKṛṣṇa:Yes. Even maybe LordCaitanyasays toNityānandaPrabhu, ""Go to all the people and tell them aboutKṛṣṇa."" So at that moment, we all, all thebrahmacārīs,we go into the people and we talk. Then we come back and tell LordCaitanya. We can preach too.",Prabhupāda,Yes. Yes.
Tamāla,"TamālaKṛṣṇa:So it's, it's fifteen.",Prabhupāda,All right.
Tamāla,TamālaKṛṣṇa:Can you tell me something about Caitanya's initiation inVaiṣṇavafaith? When He was initiated?,Prabhupāda,"After His father's death it is the custom amongst the Hindus to offer oblations atGayā. There is a temple,Viṣṇutemple. They offerprasādam.This is aHinducustom. And with thatprasādamthe forefathers and the father is offered. So He went to perform that ceremony and by chance He met ĪśvaraPurīand He was initiated by ĪśvaraPurī. And after coming back fromGayā, He became very much emotional forKṛṣṇa, and sometimes people thought that He has become crazy. So His mother treated with some oil. But learned devotees, they said that He has got devotional emotion. So His initiation was inGayā, when He went to perform that ceremony. So you can show theGayātemple or some temple. And He's offering oblations, He's meeting His spiritual master, he's initiating. In this way you can make it two, three scenes. And He became emotional chantingHareKṛṣṇaafter initiation."
Tamāla,TamālaKṛṣṇa:The scenery will be very simple.,Prabhupāda,"Oh, yes, yes. That I know. That's all right. There is no need of scenery."
Tamāla,TamālaKṛṣṇa:We can do it by pantomime and gestures.,Prabhupāda,That's alright.
Tamāla,"TamālaKṛṣṇa:That way, no matter where we are, people will understand.",Prabhupāda,Yes. Yes. That is nice.
Tamāla,TamālaKṛṣṇa:He would swoon whenever He heard Kṛṣṇa's name? He would be swooning? LordCaitanyawould faint?,Prabhupāda,"Oh, yes."
Tamāla,TamālaKṛṣṇa:It says in theTeachings of LordCaitanyathat He revealed His heavenly powers to His associates.,Prabhupāda,"Yes. That was done in one day,saṅkīrtana.He asked His devotees aftersaṅkīrtana,""What do you want to eat?"" So some of the devotees out of fun said that ""We want mango."" But that was not mango season. So He asked somebody, ""All right. Bring some mango seed."" So mango seed can be had in Bengal in everywhere because after eating mangoes they throw it, and gradually they become a small plant. So He brought some small plant mango and immediately sowed it on the courtyard, and immediately it became a big tree and full of mango."
Tamāla,TamālaKṛṣṇa:That would be a nice time for us to distributeprasādato all the people.,Prabhupāda,"Yes. If possible, mangoes."
Tamāla,"TamālaKṛṣṇa:Oh, yes. From the tree. We'll have them hung on the tree and pick.",Prabhupāda,"Yes. You have got nice ideas. You can do very nicely. Yes. This is required, creative ideas."
Tamāla,TamālaKṛṣṇa:Maybe... About Lord Caitanya's civil disobedience. That is with theKazi?His civil disobedience?,Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:That is theKazi.,Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:I read the introduction. There is a lot of material on it. Maybe some other things that we can...,Prabhupāda,"You can make scene that people, His disciples, are performingkīrtanaand one scene you can makeKazi,Muslim magistrate, is sitting, and thebrāhmaṇas,they come. ""Sir, you are our protector. You areKazi.You are magistrate. And thisNimāiPaṇḍita, young boy, He is creating so much disturbance."" ""What is that?"" ""He has begun this chantingHareKṛṣṇa. This is not ourHindureligion. He is chanting so loudly. Now this is the time God is sleeping. So He'll be disturbed. So the whole society will be vanquished if God becomes angry. So He'll be disturbed."" SoKazi...After all, Hindus are complaining. SoKazisaid, ""All right, I am taking steps."" So he sent some officers. And they were playingmṛdaṅga,and warned that ""You cannot do this. You are disturbing here."" That is going on still. Just like our Los Angeles, it is going on. In New York also, they complain to theKazi,(laughs) police officer. But they could not do anything. So this complaint is going on since the inauguration of thesaṅkīrtanamovement. SoKazifirst of all warned. Then He did not care. Then the police also came and broke themṛdaṅgasforcibly. ThenCaitanyaMahāprabhusaid, ""All right. We shall start thousands of men playingmṛdaṅga,and we shall go to the house ofKazi.Let us see what can he do."" So He went with many followers, and many followers playingmṛdaṅga,andKazibecame afraid that ""The people have become agitated."" So he fled away. Then the people began to create disturbance in his garden.CaitanyaMahāprabhusaid, ""Don't do this."" ThenKazicame back, andKaziwas very submissive, and he said, ""My dearNimāi, You are in relationship my nephew."" Because Hindus and Muslims in those days, although they had different religions, they had no animosity. They were living very friendly. So the Muslim elderly man will be said by the Hindus asChāchā.And the Muslims they'll callṬhākura Mosai.Like that. Friendly terms. They will invite. In this way they were living. So theKazisaid that ""Your grandfather, I call himChāchā.He's elderly man. So Your mother is my sister. So You are my nephew. So do you think a nephew can be very angry upon his uncle?"" And (chuckling) He said, ""No, nephew must be obedient to the uncle. But do you think that uncle, when a nephew comes to his house, will not receive him?"" ""Oh yes. You are welcome. You are my nephew. You are my son."" In this way the past incidences forgotten. Then theysatdown. ThenCaitanyaMahāprabhuasked him, ""My dear uncle, what is your religion that you are killing father and mother?"" ""Why killing father and mother?"" ""Oh, you are killing cow, your mother. You are drinking milk. And oxen, he produces grains for you in the field; so he is your father. The father earns for the children, so he is producing grains. And mother gives milk; so cow is giving milk. So how is your religion that the father mother killing?"" Then he could understand thatCaitanyais marking on the cow killing by the Mohammedans. Then he said, ""Oh, this cow killing is also in yourHindureligion."" Then He said, ""How is that,Hindureligion cow killing?"" ""Oh, there is cow sacrifice."" Then He said that cow sacrifice is not like this. Cow sacrifice is giving new life to the old cow. That is cow sacrifi... It is not killing. And because at the present moment thebrāhmaṇasare not so qualified that they can give new life, therefore that sacrifice is now forbidden. He cited some verses from Vedic literature that cow sacrifice and horse sacrifice and to beget children by the younger brother of husband andsannyāsa,and offering oblations with meat, these things are forbidden. So that is past. This is... Now it has no significance. In this way, both of them were scholars. Then they compromised. Agreement was theKazigave order everyone of his descendants, that ""Nobody will check thissaṅkīrtanamovement."" So that order is being carried by their descendants still there in Nabadwip. TheKazihas got his tomb. He was a very big man."
Tamāla,TamālaKṛṣṇa:He became a devotee?,Prabhupāda,"Yes. Devotee means he was not converted, but he became very admirer ofCaitanyaand he ordered that ""Caitanya can performsaṅkīrtanaanywhere. Nobody shall check."" So that order is still being carried out."
Tamāla,"TamālaKṛṣṇa:We can do this in the dark with candles. Men playing drums, some people holding candles, marching to his house.",Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:And it will look very...,Prabhupāda,Yes.
Tamāla,"TamālaKṛṣṇa:Maybe... Can we show him after LordCaitanya(and) he talk, they both come out and everyone haskīrtanaor is this not correct?",Prabhupāda,"No, you can do that.Kīrtana,that's all right."
Tamāla,"TamālaKṛṣṇa:I mean theKazi,he can be in thekīrtana?",Prabhupāda,"Yes. Out of jubilation, yes. That's all right."
Govinda,Govindadāsī:Did he stop this cow killing thereafter? After talking withCaitanyaMahāprabhu?,Prabhupāda,"No. Because that is their religious ceremony.Caitanyasimply criticized their process, but he replied that ""In Your Vedic there is cow sacrifice.""CaitanyaMahāprabhureplied, ""That sacrifice is not killing. That's giving new life."" So that much."
Tamāla,"TamālaKṛṣṇa:Madhudvisa, he will play theKazi.",Prabhupāda,Huh?
Tamāla,TamālaKṛṣṇa:Madhudvisa...,Prabhupāda,That's all right.
Tamāla,TamālaKṛṣṇa:So we can show His mother and His wife crying because He is takingsannyāsa.They see Him in His...,Prabhupāda,"No, no. He tooksannyāsaby previous arrangement. One day He went away from home, accompanied byMurāriand LordNityānanda, and went to Katwa. There was oneMāyāvādīsannyāsī,KeśavaBhāratī, and He tooksannyāsafrom him. And then He was, in emotion He was going toVṛndāvana, but He was misled byNityānanda, and He was brought to the home ofAdvaita, andAdvaitaarranged to bring His mother to see Him for the last. So His mother and many people from Nabadwip came to Sant... Advaita's house was in Santipur. So there was, for a few days,CaitanyaMahāprabhustayed there, andsaṅkīrtanaandprasādadistribution was going on. And His mother feeling, feeling very well... ButCaitanyaMahāprabhusaw that ""My mother is not allowing Me to go. That is not good."" So He requested, ""Mother, I have takensannyāsī.If I go on feasting like this with mother, what people will say? So you give Me permission to go."" So mother said, ""Yes, my dear boy. You have takensannyāsī.But anyway You are happy. That is my happiness. But my only request is that You make Your headquarters atJagannāthaPurī. Because people from Nabadwip generally go there, so I shall get at least Your news. That is my last desire."" SoCaitanyaMahāprabhusaid, ""Yes. I shall make My headquarters inPurī."" So people were coming and going. So His mother was getting news ofCaitanyaMahāprabhu. That was then last days. ButCaitanyaMahāprabhu, after that incident, never met, either His mother... And there was no question of meeting with wife."
Tamāla,"TamālaKṛṣṇa:No. So Jānakī, she can play the mother. She is...",Prabhupāda,"Yes. And you can show another scene that His wife,Viṣṇupriyā, she was chantingHareKṛṣṇa, and one round finished, she counted it with one grain of rice. One round finished, one grain rice. So as many rounds finished, she'll eat only so much rice. That's all."
Tamāla,TamālaKṛṣṇa:Wow. He did that?,Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:He did that all the time?,Prabhupāda,Yes. That was... From 16 years till death she was doing that.
Tamāla,TamālaKṛṣṇa:I thought He sometimes would eat a room full of food?,Prabhupāda,What?
Tamāla,TamālaKṛṣṇa:Didn't sometimes He eat a lot of food?,Prabhupāda,Who?
Tamāla,TamālaKṛṣṇa:LordCaitanya.,Prabhupāda,"Yes. And His mother would prepare nice dishes and offer toViṣṇuand think, ""Oh, this niceprasādam,I could offer my sonCaitanyaMahāprabhu...,Nimāi, but He is..."" She would cry. She was crying, ""Oh, the boy is no longer here."" Then, after some time, she would see the whole finished, wholeprasādam.""What happened? I did not offer toViṣṇuDeity? I simply brought the empty pot? Maybe."" Then again she goes to the kitchen, and... ""There is also nothing."" Then again cook. ""Perhaps I have forgotten to cook even, thinking ofCaitanya."" Then again she'll offer. AndCaitanyaMahāprabhusent news by some men that ""Inform mother that one day she was thinking like that. So I went there. I ate everything, and she saw everything empty. She'll remember. Then again she cooked. And mother will feel happy. ""Oh, thenNimāicame and did it. Oh, it is very nice."" So this scene is very pathetic."
Tamāla,"TamālaKṛṣṇa:Yes. But how will we make... We will show Him take the food while her... How will we show this? How will we produce this? That she is sitting there, offering the food...",Prabhupāda,"No. You don't offer. Simply offering, and you'll simply play, ""Where is the food?"" That way."
Tamāla,TamālaKṛṣṇa:Oh.,Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:Not real food.,Prabhupāda,"No. Or... Real food is not required. Simply that explain it. Or you can do one thing. You can offer real food. And since she will be in devotion, one may take the foodstuff and distribute to the audience and keep it. That will be also nice."
Tamāla,TamālaKṛṣṇa:Yes. Maybe we can distributeprasādatwice in the play.,Prabhupāda,Yes. Yes.
Tamāla,TamālaKṛṣṇa:Even just to... Maybe that plate we'll just give to a few people nearby.,Prabhupāda,Yes. [break]
Tamāla,TamālaKṛṣṇa:...first speak in detail about Ṭhākura Haridāsa's disappearance. So tell me maybe how you want it to be performed.,Prabhupāda,"Yes. ṬhākuraHaridāsawas living in a cottage which was... Just like I am living here, and the garagesitea little far off,Haridāsawas living a little distance. So when LordCaitanyaMahāprabhuused to go to the sea for taking bath, He every day, every morning He used to go toHaridāsaṬhākura and taking his informa..., ""Haridāsa, what you are doing?"" BecauseHaridāsawas Mohammedan by birth, so out of his meekness he did not go to the temple. But in those... Especially in those days they were very strict. They do not allow anyone except Hindus to enter the temple. Nowadays, of course, there is law. If somebody is, actually has come to theHinduway of life, he's allowed. Our Jayagovinda and others were allowed to seeJagannāthatemple. But in those days there were no such system andHaridāsaout of his own accord, he did not want to disturb But LordCaitanya, God Himself, used to come to see him every day. So one day whenCaitanyacame, he looked little bit depressed. SoCaitanyaMahāprabhuasked him, ""Haridāsa, you do not look very well today. What is the matter?"" ""Sir, I'm not very feeling well. And because I do not feel well, I could not finished my chanting."" He was chanting daily 300,000 times. ""So I could not finish my chanting."" SoCaitanyaMahāprabhusaid, ""All right. You are growing old. You may not follow the rules now strictly. You can make it later.""HaridāsaṬhākura said, ""No, Sir, so long my life is there I shall try to follow. When the life is over, that is different thing. But I have got one desire if You fulfill."" ""What is that?"" ""Now I can understand that You will also leave this world very soon. So I cannot tolerate that. So best thing is that before You'll go, I go. And my another request is that You shall stand before me, and I shall leave this body."" SoCaitanyaMahāprabhusaid, ""Oh, if that is your desire, that will be all right. That is not difficult."" So next day, whenCaitanyaMahāprabhucame,HaridāsaṬhākura said, ""Sir, today I wish to leave. So You please stand before me."" SoCaitanyaMahāprabhualso could understand that he's leaving. So He asked His devotees to chantHareKṛṣṇa, and in the presence ofCaitanyaMahāprabhuhe left. ThenCaitanyaMahāprabhutook this body, and Himself He went... He carried the body. He was very stout and strong. And He was dancing and... Then He went to the seaside, and He bathed the body, and in His own hands He buriedCaitanya, uh,HaridāsaṬhākura's body within the sand. So that burial place is still there inPurī,HaridāsaṬhākura'ssamādhi.Then He personally went to the shopkeepers and beggedprasādam.""You give Me someprasādam.""All people gave Him so many things.CaitanyaMahāprabhuwas so well-known. So He asked all the devotees to takeprasādamafter the burial ceremony was over. In this wayHaridāsaṬhākura's...Niryāna.This is called departure ofHaridāsaṬhākura. That is stated inCaitanya-caritāmṛta."
Tamāla,"TamālaKṛṣṇa:I noticed that someone in the temple was reading a book,The Divine Name.",Prabhupāda,Yes.
Tamāla,TamālaKṛṣṇa:And it talks about this. Should I look at that book or not at all?,Prabhupāda,Which book?
