Question Speaker,Question Text,Answer Speaker,Answer Text
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes. I agree, I agree.",Prabhupāda,"Just like this finger is part and parcel of my body, but its business is to serve the body. I ask the finger: ""Come here."" It is doing like that. I ask the finger to: ""Come here."" It is doing like that. So it is the business of the finger is to serve the whole. It is part. And the body is the whole. Therefore the business of the part and parcel is to serve, render service to the whole. This is natural condition."
Cardinal Danielou:,Cardinal Danielou:I agree with this...,Prabhupāda,Let me finish.
Cardinal Danielou:,"Cardinal Danielou:Yes. And I think that the vocation of each creature is the service of God, yes.",Prabhupāda,Yes.
Cardinal Danielou:,Cardinal Danielou:The service of God.,Prabhupāda,"Yes. So when the living entity forgets this business, that is material life."
Cardinal Danielou:,Cardinal Danielou:(agrees in French),Prabhupāda,Therefore in this material world we find almost everyone has forgotten God.
Cardinal Danielou:,Cardinal Danielou:(agrees in French),Prabhupāda,The conclusion is that this material world is created...
Cardinal Danielou:,Cardinal Danielou:Created...,Prabhupāda,Created for the forgotten souls.
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,And here the business is to again revive them to God consciousness.
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,"So the process of enlightening the living entities, especially the human being, because in the animal form of life, one cannot be enlightened. Neither the animal can understand what is God."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes, yes.",Prabhupāda,"It is only the human being who can understand. If he's trained, then he can come to God consciousness."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes, yes, It is so.",Prabhupāda,So this creation is meant for the forgotten souls to give them a chance for reviving their God consciousness.
Cardinal Danielou:,"Cardinal Danielou:Yes, it is clear. It is very, very clear. Very clear.",Prabhupāda,"And for this business, sometimes God personally comes. Sometimes He sends His representative, His son, or His devotee, His servant. This is going on. God wants that these forgotten souls should come back to home, back to Godhead."
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,"Therefore from His side, that is constant endeavor to revive their God consciousness."
Cardinal Danielou:,"Cardinal Danielou:Yes, God consciousness.",Prabhupāda,"Now this God consciousness can be awakened in the human form of life, not in other form of life."
Cardinal Danielou:,Cardinal Danielou:Not in the...,Prabhupāda,"Maybe very rarely, but the human being... (aside:) Where is the water?"
Yogeśvara,She said she was coming with it...,Prabhupāda,Ācchā.The human being has got the prerogative to awaken his dormant God consciousness.
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,So the best service to humanity is to awaken their God consciousness.
Cardinal Danielou:,"Cardinal Danielou:Yes, it is true, it is true.",Prabhupāda,Best service.
Cardinal Danielou:,"Cardinal Danielou:It is the necessity of internal conversion, yes, for human, human souls to return to God. But do you think that this, the personality of human soul is a personality permanent? That is, we remain always distinct, not separate from God, but distinct of God?",Prabhupāda,Distinct.
Cardinal Danielou:,Cardinal Danielou:Distinct of God. Yes.,Prabhupāda,"Just like you are distinct from me, I am distinct from you."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes.",Prabhupāda,Like that.
Cardinal Danielou:,Cardinal Danielou:We are distinct from God in a certain sense.,Prabhupāda,"But as I am the individual being, similarly God is also individual being."
Cardinal Danielou:,"Cardinal Danielou:Individual being, yes, yes.",Prabhupāda,"Being. That is the Vedic statement,nityo nityānāṁ cetanaś cetanānām,ekobahūnāṁyovidadhātikāmān(KaṭhaUpaniṣad2.2.13).God is also a living entity."
Cardinal Danielou:,"Cardinal Danielou:Living, God is living.",Prabhupāda,Living entity.
Cardinal Danielou:,"Cardinal Danielou:Living, living.",Prabhupāda,"And we are also living entities. But He's singular number, we are plural number."
Cardinal Danielou:,Cardinal Danielou:But do you think that really God love human beings and...?,Prabhupāda,God loves...
Cardinal Danielou:,Cardinal Danielou:Love...,Prabhupāda,...every living entity.
Cardinal Danielou:,"Cardinal Danielou:God love, love, love...",Prabhupāda,"Not only human beings, but also..."
Yogeśvara,Is this creation...?,Prabhupāda,"When, when the living entity forgets love of God, he's given this material world."
Cardinal Danielou:,"Cardinal Danielou:Yes. Is true. The man must imitate God, imitating His bounty, His...",Prabhupāda,Power.
Cardinal Danielou:,Cardinal Danielou:Yes. His mind and His knowledge of the spiritual sense. But it is possible to man without the helping of God to realize his perfection?,Prabhupāda,"No, no, no."
Cardinal Danielou:,Cardinal Danielou:It is necessary that the grace of God help the...,Prabhupāda,"Yes. By the help of God, he can revive. That is stated inCaitanya-caritāmṛta..."
Cardinal Danielou:,"Cardinal Danielou:Because man is, himself, is not capable to attain...",Prabhupāda,No.
Cardinal Danielou:,Cardinal Danielou:...the divinity.,Prabhupāda,By the help ofKṛṣṇa...
Cardinal Danielou:,Cardinal Danielou:(aside in French),Prabhupāda,"By the help of God, and by the help of master, spiritual master..."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes. Spiritual master.",Prabhupāda,Yes.
Cardinal Danielou:,"Cardinal Danielou:Spiritual master is very important. Theguru, you say, yes.",Prabhupāda,"Guru, yes. That is the very word used.Guru-kṛṣṇa-kṛpāyapāyabhakti-latā-bīja[Cc.Madhya19.151].One revives his God consciousness by the mercy of God andguru."
Cardinal Danielou:,"Cardinal Danielou:Yes, in Christianity, we speak of spiritual fathers.",Prabhupāda,Yes.
Cardinal Danielou:,"Cardinal Danielou:Spiritual father, spiritual father. We... He is a man who has a good experience of spiritual things and communicate his experience to others.",Prabhupāda,"Yes, oh, yes. (etc.)"
Cardinal Danielou:,"Cardinal Danielou:You know. We are in Christianity monks, monks. We live in monastery.",Prabhupāda,"Ah, monks."
Cardinal Danielou:,"Cardinal Danielou:Monastery, yes. With contemplative life and austerity of life. And we have many, many monastery in France. Some Benedict, some Benedict and...",Prabhupāda,"Where he has gone to take the water from, Arabian Sea?"
Cardinal Danielou:,Cardinal Danielou:...leader of theKṛṣṇacommunity?,Prabhupāda,Yes.
Cardinal Danielou:,"Cardinal Danielou:Yes, yes. But there are in India other community ofViṣṇu...?",Prabhupāda,"The same, the same."
Cardinal Danielou:,Cardinal Danielou:The same.,Prabhupāda,"KṛṣṇaandViṣṇu, the same."
Cardinal Danielou:,Cardinal Danielou:(indistinct),Prabhupāda,So material world is meant for persons...
Cardinal Danielou:,Cardinal Danielou:Thanks.,Prabhupāda,You can give me little more. Yes.
Cardinal Danielou:,"Cardinal Danielou:You are in India today a religious life, or...?",Prabhupāda,"Yes, I'msannyāsī."
Cardinal Danielou:,"Cardinal Danielou:But there is no, no atheism, literate, some atheism, atheism, atheism, religious indifference, materialists exist in the towns, in the towns...?",Prabhupāda,Now there are many atheists.
Cardinal Danielou:,"Cardinal Danielou:Many atheists, yes. In France, we have this problem. In France, the greatest parts of the, of, of children are baptized and trained...",Prabhupāda,Give me little more.
Cardinal Danielou:,"Cardinal Danielou:In France, the greatest part of children are baptized and receive a religious education, the religious training, the great part. The atheism is chiefly, amongst intellectuals. Not...",Prabhupāda,Ah! Not in the mass.
Cardinal Danielou:,"Cardinal Danielou:Not in the... No, not in the mass.",Prabhupāda,The same thing....
Cardinal Danielou:,"Cardinal Danielou:Yes. Yes. But it is not the majority of the young men and this revolutionary spirit is amongst many youths, some research, research of the Absolute. Some young men are communist and Marxist, surely. But many youths, today have a spirit of research factually. In, insatisfied with actual religious forms, but receives any religious experience, a spiritual experience...",Prabhupāda,That is the latest thing. They are now disgusted with these religious rituals without philosophy.
Cardinal Danielou:,"Cardinal Danielou:Oui, oui,it is so, it is so. They have accepted some formalism, ritualism. They do not like this. But receives a personal and internal experience.",Prabhupāda,Yes.
Yogeśvara,He says the ideal of Christianity is to imitate these various qualities of Lord Jesus Christ.,Prabhupāda,Yes.
Cardinal Danielou:,"Cardinal Danielou:Yes. And Jesus, Jesus is this. So I am very, very glad to meet you...",Prabhupāda,"May, may I ask you one question? Jesus says: ""Thou shalt not kill."" So why Christian people are killing?"
Cardinal Danielou:,"Cardinal Danielou:It is forbidden in Christianity to kill. Surely. But chiefly we think that there is a difference between the life of man and the life the beasts.N'est ce pas?And that the life of man is sacred because man is the image of God. But we have not the same respect relating to the beasts, to the animals, and we think that the animals are at the service of man, and that it islegitimeto man. For us, each life is not the same. What is really important is the life of man, and the human person is really sacred and it is forbidden to kill a human person...",Prabhupāda,"No, but Jesus does not says ""human being"". He just said generally: ""Thou shalt not kill."""
Cardinal Danielou:,"Cardinal Danielou:(French) In the Bible we have many example of, by example, we have many sacrifice in the sacrifice of animals. You know. Many sacrifice of animals in the Bible.Alors.This is not forbidden. It is sure that it is a great sin to kill a man,alors.There is surely the great question of the war, the war, the national war. And is, it is...",Prabhupāda,"You, you, you think that to kill an animal is no sin?"
Cardinal Danielou:,"Cardinal Danielou:No, no, no. No sin. No sin. No sin. Because we think that the simple biologic life is not sacred. That is, what is sacred is the human life, the human life. But not the life, ass.",Prabhupāda,"But I think that it is interpretation. Jesus Christ says generally: ""Thou shalt not kill."""
Cardinal Danielou:,"Cardinal Danielou:Yes. Jesus said, but this phrase is not, the text is not a text of Jesus. It is a text of theOld Testament,and it is a text...",Prabhupāda,"No, it isNew Testamentalso."
Cardinal Danielou:,Cardinal Danielou:Old Testament! Old Testament.,Prabhupāda,"No, is it not in theNew Testament?"
Cardinal Danielou:,"Cardinal Danielou:It is in theLevitic,in theLevitic,in the book of theLevitic.",Prabhupāda,Ahhh.
Cardinal Danielou:,"Cardinal Danielou:It is not a word of Jesus. It is a word of theLevitic,and it is a part of the decalogue of the Ten Commandments what God gave to Moses.",Prabhupāda,"That's all right. But Ten Commandments, one of the Commandments is that: ""Thou shalt no kill."""
Cardinal Danielou:,"Cardinal Danielou:Oui.For the food of man to eat, to eat, and...",Prabhupāda,"Man can eat grains, food grains, fruits, milk, sugar, wheat..."
Cardinal Danielou:,Cardinal Danielou:No flesh?,Prabhupāda,"No. Why? Just like the fruits. The fruits are meant for human being. The tiger does not come to eat your fruits. So tiger's food is another animal. Man's food is fruit, food grains, milk products. Just like fruit..."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes. I understand. It is why because grain and plants are also living beings.",Prabhupāda,"That's all right, that's all right."
Cardinal Danielou:,Cardinal Danielou:Living beings.,Prabhupāda,"That, that we also understand. But if, if you cannot live... Just like, generally, if I can live on fruits and grains and milk, why should I kill another animal?"
Cardinal Danielou:,"Cardinal Danielou:Yes, yes...",Prabhupāda,Another thing is that how can you support that animal killing is not sin?
Cardinal Danielou:,"Cardinal Danielou:Yes, because we, we thought that there is a difference of nature between life of man, life of spirit, and biological, biological life. And we say... [break] ...not really exists, and we think so. We think that animals, plant are not real beings, are world of appearance and that you human person only is real being. And that in this sense, the material world is without importance.",Prabhupāda,"Now..., I follow. Suppose you are living in this house. So you are not this house, that's a fact."
Cardinal Danielou:,Cardinal Danielou:Yes. Yes.,Prabhupāda,"But if I come and break your house, is it not inconvenience for you?"
Cardinal Danielou:,"Cardinal Danielou:Yes, surely. Surely it is inconvenient.",Prabhupāda,"So if I cause inconvenience unto you, is it not criminal?"
Cardinal Danielou:,"Cardinal Danielou:It is inconvenient to me, but is...",Prabhupāda,"No. If I cause some inconvenience to you, is it not criminal? Is it not sinful?"
Cardinal Danielou:,"Cardinal Danielou:Oui,the cows.",Prabhupāda,One thing is...
Cardinal Danielou:,Cardinal Danielou:...a cow to give him to children who are hungry and the...,Prabhupāda,"No, no, from any other consideration, cows' milk we drink. Therefore she's mother. Is it not?"
Cardinal Danielou:,"Cardinal Danielou:Oui,yes, surely, surely, but the...",Prabhupāda,"According to Vedic conversion, we have got seven mothers.Ātma-mātā,the original mother,guroḥpatnī,wife of the master, spiritual master..."
Yogeśvara,(translates),Prabhupāda,"Ātma-mātāguroḥpatnībrāhmaṇī,the wife of the priest."
Cardinal Danielou:,Cardinal Danielou:,Prabhupāda,"Rāja-patnikā,the wife of king, the queen."
Yogeśvara,(translates),Prabhupāda,"Four.Ātma-mātāguroḥpatnībrāhmaṇīrāja-patnikā, dhenur.Dhenumeans cow.Dhenurdhātrī.Dhātrīmeans nurse.Tathāpṛthvī.Pṛthvīmeans earth. These are seven mothers. So cow is mother because we drink milk, cow's milk."
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,How can I deny that she's not mother? So how we can support killing of mother?
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, it is a motive. But we think that...",Prabhupāda,"Therefore, in India, those who are meat-eaters, they are advised... That is also under restriction. Advised to kill some lower animals like goats, even up to buffaloes. But cow killing is the greatest sin."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, we... I know this. I know this. And this is for us a difficulty, a difficulty...",Prabhupāda,"Yes, because the cow is mother."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes...",Prabhupāda,"You, you take the milk from the mother..."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes.",Prabhupāda,"And when she's old, she cannot give you milk, therefore she should be killed?"
Cardinal Danielou:,Cardinal Danielou:Yes.,Prabhupāda,Is that very good proposal?
Yogeśvara,"He says yes, it is.",Prabhupāda,Eh?
Cardinal Danielou:,"Cardinal Danielou:If, if the men are hungry, it is the life of men is more important than the life of cow.",Prabhupāda,"Therefore, because we are propagating thisKṛṣṇaconsciousness, we ask people to, not to eat meat, any kind."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes.",Prabhupāda,"But if, under certain circumstances, you are obliged to eat meat, eat the flesh of some lower animals. Don't kill cows. It is the greatest sin. And so long one will be sinful, he'll not be able to understand what is God. But human being, main business is to understand God and to love Him. But if he remains sinful, neither he can understand God, and what to, what is the question of loving Him. Therefore at least from the human society, this cruel maintenance of slaughterhouses must be stopped."
Cardinal Danielou:,"Cardinal Danielou:Oui, oui.I think that this is perhaps not an essential point. I think that in this realm the uses of various religions can be good. The importance is to love God.",Prabhupāda,Yes.
Cardinal Danielou:,Cardinal Danielou:But the commandment practical can be various.,Prabhupāda,"No. Just like God, if God says that: ""You can do this,"" that is not sin. But if God says that: ""You cannot do it"", then it is sin."
Cardinal Danielou:,"Cardinal Danielou:When God says that it is not good to Indian, and says to the Jews that it is...",Prabhupāda,"No, no. Now take... Therefore I say that Jesus Christ, either you call him God, or confidential representative of God, both of them are one, when he says: ""Thou shalt not kill,"" why should we interpret in an another way, to our convenience?"
Cardinal Danielou:,"Cardinal Danielou:Oui,the sheeps...",Prabhupāda,"That's all right, but Jesus Christ never maintained slaughterhouse."
Cardinal Danielou:,"Cardinal Danielou:Non, mais...He eated, he eated, he eated...",Prabhupāda,"In certain circumstances, when there is no other food, that a life must be saved. That is another thing. But why regularly slaughterhouse should be maintained for the satisfaction of the tongue?"
Cardinal Danielou:,"Cardinal Danielou:Oui.But I think there is, at first, a great duty to help men and women and children to live and actually it is the first duty. It is more important to help men and women to life. The life of beast is of minor importance than the life of men.",Prabhupāda,"From that point of view, you can kill lower animals. Why should you kill mother?"
Cardinal Danielou:,"Cardinal Danielou:Oui, oui.Mother. Man, as human being is not the same that...",Prabhupāda,"And it is not moral. Even if you kill animals for maintaining your..., allowing that, there are many other, hundreds and thousands of animals. So if you at all require, people eat also hogs, sometimes, in wartime, they ate dogs also. And there are persons, they regularly eat dogs in Korea. They eat dogs regularly. So even animal killing is necessary for..."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, yes, it is...",Prabhupāda,"...for eating, then at least the mother animal should not be killed. That is from moral point of view."
Cardinal Danielou:,"Cardinal Danielou:Yes, from moral point of view...",Prabhupāda,"So our point of view is that we don't allow killing any animal. OurKṛṣṇasays:patraṁpuṣpaṁphalaṁtoyaṁyo mebhaktyāprayacchati[Bg.9.26].Kṛṣṇasays vegetable, fruits, milk, grains, all these things should be offered to Me with devotion. And you should take the remnants of the foodstuff. So we takeprasādam.AndKṛṣṇasays: ""Give Me foodstuff prepared from this group."" That we do. Accepting that the fruits, they have got life. But fruits are by nature... There are many fruits. It is offered by the tree for eating. The tree's not killed. So we accept this philosophy also that a, one animal, one living entity is meant for being food for another living entity.Jīvojīvasyajīvanam.That we also accept, but that does not mean one living entity is the food for another living entity, that does not mean I can kill my mother, my child... That is not, sir. So at least this must be taken into consideration that cows, innocent, they give us milk, we take its milk, and we kill in regular slaughterhouse, this is not very good thing. It is sinful."
Cardinal Danielou:,Cardinal Danielou:Yes. I understand that.,Prabhupāda,Yes. Thank you very much.
Cardinal Danielou:,"Cardinal Danielou:The soul, the soul, the soul is, is human soul. In the animal you have some psychologic existence, but not life of spirit with freedom, with mind and with the reality of spirit. But you have the same idea because you said that there is a difference of nature between spiritual creation and the material world. You know, the material world is not of the same essence than the spiritual world. And the man, the man is a part of spiritual world.",Prabhupāda,"No. OurBhagavad-gītāsays:sarva-yoniṣu.""In all species of life, as many forms are there, so the spirit soul is there."" This outward body is just like a dress. You may have a very costly dress, and I may have a very shabby, poor dress, but both of us are human being, or living entities. Similarly these different forms of living entities, they are just like different types of dress.Vāsāṁsijīrṇāniyathāvihāya[Bg.2.22].Just like you are in black dress. I am in saffron dress..."
Cardinal Danielou:,"Cardinal Danielou:Yellow, yes.",Prabhupāda,"So this is external. But within the dress you are a human being, I am also human being. Similarly, there are eight million four hundred thousands of dresses. There are nine hundred thousand dresses within the water, aquatics."
Yogeśvara,(translates),Prabhupāda,"Similarly, two million kinds of dresses of the trees, plants, like that. In this way the Vedic literatures have calculated, there are eight million, four hundred thousand forms of living entity. But they're all living entities, part and parcel of God. Just like one man has got ten sons. Not all of them equally meritorious. Not all. One may be high-court judge. And one may be ordinary clerk in the office. But father, both the high-court judge and the clerk in the office, father claims both of them as son."
Cardinal Danielou:,"Cardinal Danielou:Yes, yes, I agree.",Prabhupāda,"For father, there is no such distinction that: ""This high-court judge is very important and the clerk in the office, my son, he's not important."" So if the enlightened son, high-court judge, says to the father: ""My dear father, your, this son, is useless. Let me cut him and eat."" Will the father allow?"
Yogeśvara,(translates),Prabhupāda,"Apart from this consideration, at least this morality should be observed that cows, they're our mother. We should not kill at least mothers for eating the flesh."
Cardinal Danielou:,Cardinal Danielou:The difficulty for us is not the idea that it is good for us to respect the life of a cow. The difficulty is the metaphysic reason. You know.,Prabhupāda,"No, metaphysics, not..."
Cardinal Danielou:,"Cardinal Danielou:No. Without, without, impermanent. Life of man is permanent.",Prabhupāda,"That, that, that difference is due to development of consciousness. The human body, human body, you get developed consciousness. Just like this tree. It is also a living entity, but it's consciousness is not yet fructified. If you cut the tree, it does not resist. But it resists in a very small degree. That is proved by the scientists. The Sir JagadishaCandraBose, in Calcutta, he's also a very great scientist. He has made machine: when you cut the tree, it feels and it is recorded in the machine."
Yogeśvara,(translates),Prabhupāda,"And for the animals we can see, when one kills the animals, it resists, it cries, it makes great sound, horrible. So it is the question of development of consciousness. But the, a soul is there."
Cardinal Danielou:,"Cardinal Danielou:But, why, why, why God make some animals who eat other animals? There is a fault in the creation because... It is a fault in the creation?",Prabhupāda,"No. The God is very kind. If you want to eat animals, then He'll give facility, good facility. Just like tiger. You become tiger, and eat animals. Those who are animal eaters, unrestrictedly, God will give him the body of a tiger next life so that he can very freely eat. ""Why you maintain slaughterhouse? I give you nails and jaws. Just eat."" So they are waiting that life."
Guest:,"Guest:That is the... Yeah, the source of the Absolute. That is the best. But I read it twenty times, always with, in every day I find new things.",Prabhupāda,That is...
